FROM_BUS,TO_BUS,BR_X,RATE_A
2057,4073,0.21493557198761887,40000.0
2057,5262,6.835316714399961,40000.0
2057,5263,9.578819314731266,40000.0
2057,5360,1.4053786652275588,40000.0
2057,5444,14.838776691249574,40000.0
2057,6003,1.0456554063521475,40000.0
2057,6063,0.10704018267049414,40000.0
2057,6214,0.3182678083569488,40000.0
2057,6215,1.235861741675235,40000.0
2057,6216,0.5497870674687694,40000.0
2057,6263,0.22518906310765863,40000.0
2057,6277,0.23767992072899283,40000.0
2057,6292,1.5606077630872566,40000.0
2057,6293,0.13160183916202267,40000.0
2057,7018,0.20910860348073818,40000.0
2057,7150,0.23277949659571623,40000.0
2057,7414,0.2316387491785511,40000.0
2057,8071,1.9084588622149956,40000.0
2057,8088,1.1738205158002109,40000.0
2057,8129,2.5066174701211197,40000.0
2057,8130,1.0054384163942767,40000.0
2057,8131,1.9656444660228525,40000.0
4003,4040,12.805736970162634,250.0
4003,4103,18.470631695603988,221.0
4003,4103,18.470631695603988,221.0
4003,4124,6.398443898443898,40000.0
4007,4027,47.86979415988512,221.0
4007,4034,25.693730729701954,149.0
4007,4122,47.82400765184123,221.0
4009,4152,28.587764436821036,221.0
4009,4152,28.587764436821036,221.0
4009,4165,49.21259842519686,221.0
4009,4165,49.21259842519686,221.0
4012,4034,10.246951531919255,221.0
4012,4103,7.046223224351746,221.0
4012,4121,12.851818532322323,98.0
4012,4171,8.96700143472023,221.0
4013,4089,10.774701002047193,250.0
4013,4107,15.593326056447841,98.0
4013,4122,56.05381165919282,98.0
4017,4081,66.006600660066,221.0
4017,4081,66.006600660066,221.0
4017,4087,39.51007506914263,149.0
4017,4123,29.188558085230586,221.0
4018,4037,16.37465203864418,149.0
4018,4149,15.241579027587258,149.0
4019,4067,15.933715742511154,221.0
4019,4067,15.933715742511154,221.0
4019,4121,20.193861066235865,98.0
4020,4051,9.136592051164914,221.0
4020,4051,9.136592051164914,221.0
4020,4123,27.956388034665924,149.0
4020,4150,34.34065934065934,221.0
4020,4150,34.34065934065934,221.0
4021,4089,18.765246762994934,149.0
4021,4167,23.261223540358223,149.0
4027,4088,53.10674455655868,221.0
4027,4088,53.10674455655868,221.0
4028,7043,48.899755501222494,443.0
4028,7274,338.98305084745766,750.0
4028,7274,338.98305084745766,750.0
4029,6253,12.88659793814433,221.0
4029,7275,71.07320540156361,149.0
4032,4051,19.402405898331395,98.0
4032,4141,11.621150493898895,149.0
4034,4154,9.719117504130624,221.0
4035,4064,47.64173415912339,149.0
4035,4150,16.829350387075056,98.0
4037,4054,17.082336863682954,98.0
4037,4099,14.13427561837456,149.0
4038,4054,15.241579027587258,98.0
4038,4125,10.705491917353601,98.0
4038,4178,12.861736334405144,98.0
4039,4073,446.42857142857144,750.0
4039,4073,446.42857142857144,750.0
4039,4151,12.56913021618904,750.0
4039,4151,12.56913021618904,750.0
4039,4151,12.56913021618904,750.0
4040,4074,104.4932079414838,250.0
4040,4074,104.4932079414838,250.0
4040,4074,104.4932079414838,250.0
4040,4079,31.387319522912744,300.0
4040,4079,31.387319522912744,300.0
4040,4079,31.387319522912744,300.0
4041,4073,50.73566717402334,820.0
4041,4073,50.73566717402334,820.0
4042,4088,49.62779156327543,250.0
4042,4088,49.62779156327543,250.0
4042,4107,51.94805194805195,221.0
4042,4107,51.94805194805195,221.0
4048,4154,35.919540229885065,221.0
4048,4155,42.88164665523156,221.0
4048,4155,42.88164665523156,221.0
4049,4086,24.67308166790032,149.0
4049,4194,37.835792659856224,221.0
4049,4194,37.835792659856224,221.0
4051,4127,11.266336187471833,221.0
4053,4152,16.095284081764042,221.0
4053,4152,16.095284081764042,221.0
4053,4191,6.764526821348847,221.0
4053,4191,6.764526821348847,221.0
4055,4078,32.21649484536083,221.0
4055,4078,32.21649484536083,221.0
4055,4109,20.03606491685033,149.0
4055,4145,38.80481179666279,221.0
4055,4145,38.80481179666279,221.0
4056,4158,77.7000777000777,750.0
4056,4181,87.26003490401396,647.0
4057,4108,57.208237986270014,221.0
4057,4108,57.208237986270014,221.0
4057,4145,25.484199796126404,221.0
4057,4145,25.484199796126404,221.0
4064,4069,42.08754208754209,98.0
4064,4099,15.482272797646695,221.0
4064,4099,15.482272797646695,221.0
4064,4104,24.894199651481205,221.0
4064,4104,24.894199651481205,221.0
4066,4068,17.2503018802829,149.0
4066,4107,48.94762604013705,221.0
4066,4107,48.94762604013705,221.0
4067,4111,42.337002540220155,300.0
4067,4194,30.35822707953856,300.0
4067,4194,30.35822707953856,300.0
4067,4194,30.35822707953856,300.0
4068,4103,18.001800180018,98.0
4068,4186,12.094823415578134,149.0
4069,4072,25.693730729701954,98.0
4070,4183,50.0,443.0
4070,4192,70.37297677691767,750.0
4070,4192,70.37297677691767,750.0
4071,4106,24.93765586034913,221.0
4072,4156,35.97122302158274,221.0
4072,4168,50.47955577990914,221.0
4072,4168,50.47955577990914,221.0
4073,4140,2.3293679725879977,40000.0
4073,4144,0.17909836153654932,40000.0
4073,4155,0.8670988865583198,40000.0
4073,4169,0.18024708270096645,40000.0
4073,4183,13.796909492273732,750.0
4073,4192,15.506280043417586,820.0
4073,5262,0.2218416897770247,40000.0
4073,5263,0.31091859031998503,40000.0
4073,5444,0.3632137149498765,40000.0
4073,6003,0.1279312241738841,40000.0
4073,6029,0.1538676479729784,40000.0
4073,6214,0.14084691531874993,40000.0
4073,6215,0.5469265734667323,40000.0
4073,6216,0.2433078184534382,40000.0
4073,6263,1.1588116618170397,40000.0
4073,6277,1.0344567188481117,40000.0
4073,6292,1.3487449927842143,40000.0
4073,6293,0.13224231658916386,40000.0
4073,7018,1.2135185971725018,40000.0
4073,7414,2.2130356652827814,40000.0
4074,4155,17.283097131005874,221.0
4078,4120,51.3083632632119,250.0
4078,4180,11.161960040183056,98.0
4079,4157,43.327556325823224,250.0
4079,4157,43.327556325823224,250.0
4080,4140,22.846698652044783,750.0
4080,4151,19.86886548778065,750.0
4080,4181,25.037556334501755,647.0
4080,4183,50.0,820.0
4086,4106,10.42535446205171,149.0
4086,4110,13.929516645772393,149.0
4087,4156,40.60089321965083,221.0
4089,4194,14.721036360959813,149.0
4099,4169,16.0,221.0
4099,4169,16.0,221.0
4100,4120,129.36610608020698,250.0
4100,4150,71.78750897343862,221.0
4100,4150,71.78750897343862,221.0
4100,4168,77.7000777000777,221.0
4100,4168,77.7000777000777,221.0
4100,4168,77.7000777000777,221.0
4102,4126,37.70739064856712,300.0
4102,4126,37.70739064856712,300.0
4102,4171,23.073373327180434,250.0
4102,4171,23.073373327180434,250.0
4104,4145,32.1646831778707,98.0
4108,4170,27.932960893854748,149.0
4109,4156,47.014574518100616,98.0
4110,4171,8.351428094204108,149.0
4111,4186,26.041666666666668,221.0
4112,4124,7.578053955744165,221.0
4112,4124,7.578053955744165,221.0
4112,4141,21.743857360295717,221.0
4112,4141,21.743857360295717,221.0
4122,4157,45.808520384791564,221.0
4122,4157,45.808520384791564,221.0
4123,4180,10.17708121310808,98.0
4125,6264,12.714558169103624,98.0
4126,4193,27.47252747252747,250.0
4126,4193,27.47252747252747,250.0
4126,4193,27.47252747252747,250.0
4127,4144,7.926442612555485,98.0
4140,4151,34.059945504087196,443.0
4140,4155,0.3941349565387383,40000.0
4140,5263,0.1302731815589974,40000.0
4140,5444,0.15345281885922868,40000.0
4140,6215,0.3129215640195276,40000.0
4140,6216,0.13920189982752884,40000.0
4140,6263,0.5915252181988648,40000.0
4140,6277,0.6178640563146015,40000.0
4140,6292,0.7895108743280276,40000.0
4140,7018,0.7280982583161564,40000.0
4140,7414,1.3640313127028143,40000.0
4141,4165,12.204051745179399,221.0
4144,4169,9.73719315670065,40000.0
4149,4173,8.590327291469807,170.0
4149,4182,18.917896329928112,221.0
4151,4158,15.787811809283236,750.0
